code,positive,death,postal,population,cases_per_pop
A,108355,3696,03,1881762,575.8167079577545
AB,29224,1183,02,386464,756.189451022605
AL,29194,1202,04,731792,398.93849618470824
AV,16980,724,05,158421,1071.82759861382
B,390741,15475,08,5714730,683.7435889359602
BA,49632,1390,06,669943,740.8391460168999
BI,102500,3961,48,1154334,887.9579047312129
BU,33172,1268,09,356055,931.6538175281909
C,85155,1679,15,1120134,760.2215449223039
CA,45011,1755,11,1245960,361.2555780281871
CC,35053,1195,10,389558,899.8146617448492
CE,4101,174,51,83517,491.03775279284457
CO,40826,1553,14,776789,525.5738688369686
CR,40350,2001,13,492591,819.1379866867239
CS,41889,1207,12,587064,713.5337884796205
CU,19985,787,16,195516,1022.1669837762638
GC,56912,911,35,1128539,504.2980348929014
GI,49733,1954,17,786596,632.2559484157051
GR,44819,2094,18,921338,486.4555678806258
GU,18001,837,19,265588,677.7791165263492
H,21957,525,21,525835,417.56444512061773
HU,20145,857,22,224264,898.271679805943
J,35309,1495,23,627190,562.9713483952231
L,35184,978,25,439727,800.1328096750939
LE,47357,1198,24,451706,1048.4031648904374
LO,31493,926,26,319796,984.7840498317678
LU,27256,437,27,326013,836.0402806023072
M,453683,20120,28,6751251,671.9984192559275
MA,66376,2586,29,1695651,391.4484761309963
ML,4353,147,52,86261,504.631293400262
MU,94725,2409,30,1518486,623.8121391965418
NC,10534,245,NC,1,105340000.0
O,82132,3392,33,1011792,811.7478691272514
OR,33248,659,32,305223,1089.301920235369
P,21793,672,34,159123,1369.5694525618546
PM,59110,1558,07,1173008,503.9181318456481
PO,64983,1223,36,944275,688.1787614836779
S,44709,957,39,584507,764.9010191494713
SA,34849,1318,37,327338,1064.618223365451
SE,65668,3068,41,1947852,337.1303363910605
SG,13113,671,40,153663,853.3609261826205
SO,10126,544,42,88747,1140.9963153684068
SS,68968,2719,20,726033,949.9292731873069
T,52059,1656,43,822309,633.0831840585473
TE,12626,589,44,134545,938.4220892638151
TF,54841,1175,38,1044405,525.0932349040842
TO,54611,2990,45,709403,769.8163103341824
V,173162,4993,46,2589312,668.7567971723762
VA,51502,1958,47,519361,991.641651953073
VI,28817,1095,01,333626,863.7516260723086
Z,77059,3737,50,967452,796.514969218111
ZA,20653,785,49,168725,1224.0628241220923
